layer,boundaries,n_rings,tb_names,tb_areas_cm2
9,"1536.64,1829.69,1996.55","8,4","D,F","30991.91,20057.39"
10,"1536.64,1829.69,2085.6","8,6","D,F","30991.91,31477.56"
11,"1536.64,1829.69,2131.6","8,7","D,F","30991.91,37571.97"
12,"1536.64,1829.69,2178.62,2226.68","8,8,1","D,F,F","30991.91,43938.93,6651.34"
13,"1377.83,1536.64,1829.69,2178.62,2325.99","5,8,8,3","C,D,E,G","14540.77,30991.91,43938.93,20855.29"
14,"1377.83,1536.64,1829.69,2178.62,2429.74","5,8,8,5","C,D,E,G","14540.77,30991.91,43938.93,36356.12"
15,"1182.67,1536.64,1829.69,2178.62,2538.11","12,8,8,7","B,D,E,G","30239.53,30991.91,43938.93,53269.39"
16,"1182.67,1536.64,1829.69,2178.62,2594.10","12,8,8,8","B,D,E,G","30239.53,30991.91,43938.93,62296.83"
17,"1182.67,1536.64,1829.69,2178.62,2594.10","12,8,8,8","B,D,E,G","30239.53,30991.91,43938.93,62296.83"
18,"1182.67,1536.64,1829.69,2178.62,2594.10","12,8,8,8","B,D,E,G","30239.53,30991.91,43938.93,62296.83"
19,"1037.56,1182.67,1536.64,1829.69,2178.62,2594.10","6,12,8,8,8","A,B,D,E,G","10121.51,30239.53,30991.91,43938.93,62296.83"
20,"1037.56,1182.67,1536.64,1829.69,2178.62,2594.10","6,12,8,8,8","A,B,D,E,G","10121.51,30239.53,30991.91,43938.93,62296.83"
21,"1037.56,1182.67,1536.64,1829.69,2178.62,2594.10","6,12,8,8,8","A,B,D,E,G","10121.51,30239.53,30991.91,43938.93,62296.83"
22,"1037.56,1182.67,1536.64,1829.69,2178.62,2483.34","6,12,8,8,6","A,B,D,E,G","10121.51,30239.53,30991.91,43938.93,44629.23"